Description,Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Car Space,Bedrooms,Bathrooms,Longitude,Latitude,Condominum Name,Price(Php),Link
Lupang Malapit sa Tagaytay! Klimang Tagaytay for Sale (Cold Weather),"Malabag, Silang",Land,"Land,residential-lot",300,None,None,None,None,120.968782,14.143115,None,2250000,https://www.lamudi.com.ph/lupang-malapit-sa-tagaytay-klimang-tagaytay-for-sa-166083141351.html
Elegant Puerto Real House & Lot for Sale in Puerto Real De Iloilo,"Tabuc Suba, Iloilo",House,"House,single-family-house",500,450,None,4,4,122.559096,10.731185,None,32000000,https://www.lamudi.com.ph/elegant-puerto-real-house-lot-for-sale-166082812495.html
RUSH SALE! Affordable 1BR Condo w/ Parking 1.8M Only (Negotiable),"Santolan, Pasig",Condominium,"Condominium,single-bedroom",None,18,None,1,1,121.087967,14.613073,Pasig Royale Mansion,1800000,https://www.lamudi.com.ph/rush-sale-affordable-1br-condo-w-parking-1-8m-only-166082158516.html
"City of San Fernando, Pampanga Residential Lot For Sale!","Magliman, San Fernando",Land,"Land,residential-lot",120,None,None,None,None,120.691918,15.4043,None,1712000,https://www.lamudi.com.ph/city-of-san-fernando-pampanga-residential-lot-for-166081313849.html
Lowest Down Payment! 2.5% Only to Move In 2BR unit for sale in Sorrento Oasis,"Rosario, Pasig",Condominium,"Condominium,double-bedroom",None,35.87,None,2,1,121.089097,14.588464,Sorrento Oasis,5498041,https://www.lamudi.com.ph/lowest-down-payment-2-5-only-to-move-in-166081164413.html
2 Bedroom For Sale in DMCI Rhapsody Residences,"Buli, Muntinlupa",Condominium,"Condominium,double-bedroom",None,53,None,2,2,121.049993,14.443527,Rhapsody Residences,4800000,https://www.lamudi.com.ph/2-bedroom-for-sale-in-dmci-raphosody-residences-16608115506.html
"For Sale : House and Lot in Las Pinas City at The Enclave Alabang! Nr. MCX, SLEX","Alabang, Muntinlupa",House,"House,single-family-house",467,414,2,3,4,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/for-sale-house-and-lot-in-las-pinas-city-at-the-en-166080944784.html
The Enclave Alabang House and Lot for Sale in Las Pinas City! Sacrifice Sale!,"Alabang, Muntinlupa",House,"House,single-family-house",467,414,2,3,5,121.037608,14.4179774,None,65000000,https://www.lamudi.com.ph/the-enclave-alabang-house-and-lot-for-sale-in-las-166080944670.html
"JML - FOR SALE: 2,210 sqm Commercial Lot in Arca South, Taguig","Western Bicutan, Taguig",Land,"Land,commercial-lot",2210,None,None,None,None,121.036376,14.517219,None,1215500000,https://www.lamudi.com.ph/jml-for-sale-2-210-sqm-commercial-lot-in-arca-sout-166080679912.html
"Mira Single Detached House & Lot For Sale at Periveo in Lipa City, Batangas","Mabini, Lipa",House,"House,single-family-house",182.36,139.4,2,4,3,121.155483,13.895805,None,10029864,https://www.lamudi.com.ph/mira-single-detached-house-lot-for-sale-at-periveo-166080635362.html
"Lana Single Detached House & Lot For Sale at Periveo in Lipa City, Batangas","Mabini, Lipa",House,"House,single-family-house",186.58,129.8,2,4,3,121.155483,13.895805,None,9691680,https://www.lamudi.com.ph/lana-single-detached-house-lot-for-sale-at-periveo-166080634978.html
"BJS - FOR SALE: 512 sqm Residential Lot in Bel-Air 2 Village, Makati","Bel-Air, Makati",Land,"Land,residential-lot",512,None,None,None,None,121.026342,14.563933,None,220000000,https://www.lamudi.com.ph/bjs-for-sale-512-sqm-residential-lot-in-bel-air-2-166080559925.html
"Erin Single Detached House & Lot For Sale at Periveo in Lipa City, Batangas","Mabini, Lipa",House,"House,single-family-house",182.39,114.98,2,3,2,121.155483,13.895805,None,8712752,https://www.lamudi.com.ph/erin-single-detached-house-lot-for-sale-at-periveo-166080540914.html
House and Lot for Sale Las Pinas City at The Enclave Alabang! Nr. Ayala Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/house-and-lot-for-sale-las-pinas-city-at-the-encla-166080522057.html
2-Storey Modern House and Lot for sale in Las Pinas City at  The Enclave Alabang,"Alabang, Muntinlupa",House,"House,single-family-house",350,391,None,3,5,121.037608,14.4179774,None,55000000,https://www.lamudi.com.ph/2-storey-modern-house-and-lot-for-sale-in-las-pina-166080521742.html
